skill,with_skill,baseline,lift
adaptive-hint-sequence-designer,0.867,0.8,0.067
backwards-design-unit-planner,1.0,1.0,0.0
differentiation-adapter,1.0,1.0,0.0
emergent-project-design-scaffold,1.0,0.65,0.35
hinge-question-designer,0.6,1.0,-0.4
lesson-builder,0.933,0.2,0.733
motivation-diagnostic-task-redesign,1.0,0.867,0.133
project-brief-designer,1.0,0.4,0.6
retrieval-practice-generator,1.0,0.733,0.267
ruler-emotional-literacy-sequence,0.867,0.733,0.133
self-efficacy-builder-sequence,1.0,0.89,0.11
self-explanation-prompt-designer,1.0,1.0,0.0
socratic-questioning-sequence-generator,1.0,0.533,0.467
spaced-practice-scheduler,1.0,0.933,0.067
