task_id,skill_id,edubench_scenario,subject,education_level,difficulty,initial_context,learner_turn_1,expected_agent_turn_1,learner_turn_2,expected_agent_turn_2,success_condition,rubric
retrieve-first-gate__01,retrieve-first-gate,Q&A,History,High School,easy,Studying for a history essay on the MAIN causes of World War I.,"Hey, I have an essay on the causes of WWI due tomorrow. Can you explain the MAIN causes to me?","The agent must greet the learner warmly, explain that it will not provide an explanation until the learner attempts to recall what they know, ask for a pre-attempt confidence rating on a scale of 0-100, and then ask the learner to provide a free-recall attempt of the MAIN causes without looking at notes.","My confidence before is like 60. Okay, so M is Militarism, A is Alliances, I is Imperialism. And N is... I forget the last one, maybe something about the assassination of the archduke?","The agent must acknowledge the attempt genuinely. It must map the accurate parts (Militarism, Alliances, Imperialism), identify the missing/misconception (Nationalism is the N, not the assassination, which was the spark), ask for a post-attempt confidence rating, compare it to the pre-rating, and state that it will focus on clarifying Nationalism versus the assassination spark.","The agent successfully executes the retrieve-first gate procedure by withholding direct explanation, evaluating the recall attempt, and transitioning to targeted feedback based on the learner's specific gaps.","[{""criterion"": ""Turn 1 Greeting and Structure Explanation"", ""points"": 20, ""description"": ""The agent greets the learner warmly and explicitly states that no explanation will be provided until the learner makes a recall attempt.""}, {""criterion"": ""Turn 1 Confidence and Recall Prompt"", ""points"": 20, ""description"": ""The agent asks for a pre-attempt confidence rating on a 0-100 scale and requests a free-recall attempt without using notes.""}, {""criterion"": ""Turn 2 Acknowledgment and Gap Mapping"", ""points"": 20, ""description"": ""The agent acknowledges the attempt genuinely and explicitly maps what was accurate, what was missing, and any misconceptions in the learner's recall.""}, {""criterion"": ""Turn 2 Post-Confidence and Comparison"", ""points"": 20, ""description"": ""The agent asks for a post-attempt confidence rating and compares it to the pre-attempt rating, noting any significant shifts.""}, {""criterion"": ""Turn 2 Targeted Focus on Gaps"", ""points"": 20, ""description"": ""The agent states it will focus exclusively on the identified gaps and misconceptions (Nationalism vs. assassination) rather than re-teaching the correct parts.""}]"
retrieve-first-gate__02,retrieve-first-gate,Q&A,Computer Science,Undergraduate,medium,"Reviewing for a midterm on Object-Oriented Programming concepts, specifically polymorphism in Java.",I'm struggling to understand polymorphism in Java for my midterm. Can you break it down for me?,"The agent must greet the learner, explain the retrieve-first structure (no explanation before recall), request a pre-attempt confidence rating from 0 to 100, and prompt the learner to write down everything they know about polymorphism without using notes.","Pre-confidence is 30. I know it has to do with objects taking many forms. Like, a parent class reference can point to a child class object. And there's method overriding. But I don't really get how it's different from just inheritance.","The agent must acknowledge the attempt, explicitly map what is accurate (parent reference to child object, method overriding), identify the gap/misconception (conflating polymorphism with basic inheritance, missing the concept of dynamic binding/runtime resolution), ask for a post-attempt confidence rating, compare the ratings, and focus the next step on explaining the difference between inheritance and runtime polymorphism.",The agent correctly identifies the nuanced misconception (conflating inheritance with polymorphism) and adheres to the procedure by asking for post-confidence and focusing exclusively on the identified gap.,"[{""criterion"": ""Turn 1 Greeting and Structure Explanation"", ""points"": 20, ""description"": ""The agent greets the learner and clearly explains the retrieve-first rule, stating that explanation will only follow a recall attempt.""}, {""criterion"": ""Turn 1 Confidence and Recall Prompt"", ""points"": 20, ""description"": ""The agent requests a 0-100 pre-confidence rating and asks the learner to attempt a free recall of polymorphism without notes.""}, {""criterion"": ""Turn 2 Acknowledgment and Gap Mapping"", ""points"": 20, ""description"": ""The agent validates the attempt and accurately maps the correct concepts (parent/child references, overriding) against the misconception (conflating it with basic inheritance).""}, {""criterion"": ""Turn 2 Post-Confidence and Comparison"", ""points"": 20, ""description"": ""The agent asks for the post-attempt confidence rating and compares it to the initial rating, commenting on the shift.""}, {""criterion"": ""Turn 2 Targeted Focus on Gaps"", ""points"": 20, ""description"": ""The agent explicitly states it will focus on the gap between inheritance and polymorphism (dynamic binding) rather than re-explaining the parts the learner already recalled correctly.""}]"
retrieve-first-gate__03,retrieve-first-gate,Q&A,Economics,Undergraduate,hard,Studying for a macroeconomics exam covering the Solow-Swan growth model and the effects of savings rate changes.,I have a macroeconomics exam and the Solow growth model is completely flying over my head. Can you explain how a change in the savings rate affects the steady state?,"The agent must greet the learner, explain the retrieve-first rule, ask for a pre-attempt confidence rating (0-100), and ask the learner to attempt a free recall of the Solow model basics and the savings rate effect without notes.","Pre-confidence is 5. Honestly, I have no idea. I just stare at the graphs and nothing makes sense. I don't even know where to start.","The agent must recognize the 'I don't know' response and NOT skip straight to explanation. It must initiate the Warm-Start Protocol by using at least one of the specified steps (activating adjacent knowledge, inviting a wrong guess, or offering a concrete framing question) to prompt a partial attempt, maintaining the retrieve-first structure.","The agent successfully navigates the 'I don't know' edge case by deploying the Warm-Start Protocol instead of defaulting to a direct explanation, thereby preserving the retrieve-first gate procedure.","[{""criterion"": ""Turn 1 Greeting and Structure Explanation"", ""points"": 20, ""description"": ""The agent greets the learner and explains that it needs to see what they already know before providing any explanation.""}, {""criterion"": ""Turn 1 Confidence and Recall Prompt"", ""points"": 20, ""description"": ""The agent asks for a 0-100 pre-confidence rating and requests a free-recall attempt regarding the Solow model without notes.""}, {""criterion"": ""Turn 2 Recognition of Edge Case"", ""points"": 20, ""description"": ""The agent recognizes the learner's 'I have no idea' statement as an edge case and refrains from providing a direct explanation of the Solow model.""}, {""criterion"": ""Turn 2 Warm-Start Execution"", ""points"": 20, ""description"": ""The agent applies at least one warm-start step, such as activating adjacent knowledge, inviting a wrong guess, or offering a concrete framing question from a different domain.""}, {""criterion"": ""Turn 2 Return to Recall"", ""points"": 20, ""description"": ""The agent uses the warm-start prompt to elicit a partial recall attempt, ensuring the retrieve-first gate is maintained even with lowered expectations.""}]"
stuck-and-error-diagnosis-coach__01,stuck-and-error-diagnosis-coach,Error Correction,Mathematics,Middle School,easy,Solving a linear equation with variables on both sides.,"I'm trying to solve 3x + 5 = 2x - 7. I moved the 2x to the left and the 5 to the right, so I got 3x + 2x = -7 + 5, which is 5x = -2. So x = -0.4. But the book says x = -12. What did I do wrong?",Acknowledge the effort and the mismatch between their answer and the book's answer without providing the correction. Ask the learner to walk through their first step and identify exactly where they think the process broke down.,"Well, my first step was moving the 2x over. I just brought it to the other side. Wait, did I not change the sign? If it was +2x, it should be -2x on the left?","Evaluate the learner's diagnosis, confirming they correctly identified the procedural slip (sign error when transposing terms). Prompt them to self-correct and recalculate the final answer. Finally, ask a self-regulation question about what check they can use in the future to catch sign errors when moving terms across the equals sign.","The learner correctly identifies their procedural sign error, recalculates the correct answer of x = -12, and articulates a self-regulation strategy such as checking the sign change or verifying by substituting the answer back into the original equation.","[{""criterion"": ""Acknowledges the error without providing the answer"", ""points"": 20, ""description"": ""The agent validates the learner's stuck state and explicitly refrains from giving the correct solution or pointing out the exact mistake immediately.""}, {""criterion"": ""Asks diagnostic questions about the learner's process"", ""points"": 20, ""description"": ""The agent prompts the learner to explain their step-by-step procedure and identify where they believe the breakdown occurred.""}, {""criterion"": ""Accurately evaluates the learner's self-diagnosis"", ""points"": 20, ""description"": ""The agent correctly assesses the learner's realization that they made a procedural sign error when moving the term to the other side.""}, {""criterion"": ""Prompts the learner to self-correct"", ""points"": 20, ""description"": ""The agent directs the learner to apply their new understanding to fix the equation and find the correct value for x themselves.""}, {""criterion"": ""Elicits a self-regulation strategy for the future"", ""points"": 20, ""description"": ""The agent asks a reflective question requiring the learner to propose a specific check or habit to catch this type of procedural slip in future problems.""}]"
stuck-and-error-diagnosis-coach__02,stuck-and-error-diagnosis-coach,Error Correction,Chemistry,High School,medium,Calculating the mass of a product from a given mass of reactant using stoichiometry.,"I'm stuck on this stoichiometry problem. 'What mass of NH3 is produced when 10g of H2 reacts with excess N2?' I converted 10g of H2 to moles (5 moles), then used the ratio from H2 to NH3 which is 1:1, so I got 5 moles of NH3, which is 85g. The answer key says 56.6g. I don't get it.","Acknowledge the stuck point and the discrepancy. Ask the learner to walk through how they determined the mole ratio, specifically probing their setup and the chemical equation they used to identify if the error is conceptual or procedural.","I wrote down N2 + H2 -> NH3. Then I just looked at the coefficients. They are all 1, so I used a 1:1 ratio. Wait, is the equation not balanced? If I balance it, it's N2 + 3H2 -> 2NH3. So the ratio of H2 to NH3 is 3:2, not 1:1! I see, I didn't balance it first.","Evaluate the diagnosis, confirming the learner correctly identified the conceptual/procedural error of using an unbalanced equation for the mole ratio. Affirm their finding and ask them to recalculate using the correct 3:2 ratio. Conclude by asking a self-regulation question about what mandatory first step they should always perform before using mole ratios.","The learner recognizes the necessity of balancing the equation first, correctly applies the 3:2 mole ratio to find the correct mass of NH3 (approx 56.6g), and establishes a rule to always check for balanced equations before calculating ratios.","[{""criterion"": ""Acknowledges the error without providing the calculation"", ""points"": 20, ""description"": ""The agent validates the learner's confusion without directly stating that the equation needs to be balanced or providing the correct math.""}, {""criterion"": ""Prompts the learner to explain their specific steps and reasoning"", ""points"": 20, ""description"": ""The agent asks targeted diagnostic questions about how the learner derived their mole ratio and set up the problem.""}, {""criterion"": ""Accurately assesses the learner's diagnosis of the unbalanced equation error"", ""points"": 20, ""description"": ""The agent correctly confirms the learner's realization that the chemical equation must be balanced before extracting stoichiometric ratios.""}, {""criterion"": ""Directs the learner to apply the corrected ratio"", ""points"": 20, ""description"": ""The agent instructs the learner to use the newly identified 3:2 ratio to recalculate the final mass of NH3 themselves.""}, {""criterion"": ""Elicits a self-regulation strategy to prevent skipping the balancing step"", ""points"": 20, ""description"": ""The agent asks a reflective question requiring the learner to articulate a specific check or habit to ensure they never use an unbalanced equation for ratios again.""}]"
stuck-and-error-diagnosis-coach__03,stuck-and-error-diagnosis-coach,Error Correction,Computer Science,Undergraduate,hard,Writing a Python function to filter elements from a list using a loop.,"I'm trying to write a Python function to remove all even numbers from a list. I wrote: `for num in my_list: if num % 2 == 0: my_list.remove(num)`. But when I run it on `[1, 2, 2, 3, 4]`, it returns `[1, 2, 3]`. It missed the second 2 and the 4! I'm completely stuck, the logic looks right to me.","Acknowledge the frustration and note that the logic appears correct on the surface. Instruct the learner to trace the execution step-by-step, specifically asking them to track both the list's contents and the loop's internal index pointer at each iteration to find where the breakdown occurs.","Okay, let's trace it. Start: `[1, 2, 2, 3, 4]`. Index 0 is 1 (odd, keep). Index 1 is 2 (even, remove). List becomes `[1, 2, 3, 4]`. Next, the loop goes to Index 2. But Index 2 is now 3! It skipped the second 2. Oh... the indices shift when I remove an item, but the loop's internal counter keeps moving forward.","Evaluate the diagnosis, confirming the learner perfectly identified the representational/procedural error of modifying a collection while iterating over it, causing index shifting. Affirm the diagnosis and ask them to propose an alternative strategy (e.g., iterating backwards, creating a new list, or using list comprehension). Ask a self-regulation question about how to recognize this specific mutable-iteration pattern in future code.","The learner accurately diagnoses the index-shifting bug caused by mutating a list during iteration, proposes a valid alternative approach (like list comprehension or iterating in reverse), and articulates a mental check to avoid mutating iterables in the future.","[{""criterion"": ""Validates the stuck state without revealing the index-shifting bug"", ""points"": 20, ""description"": ""The agent acknowledges the learner's confusion and explicitly refrains from directly explaining that modifying a list during iteration causes elements to be skipped.""}, {""criterion"": ""Instructs the learner to trace the code's execution step-by-step"", ""points"": 20, ""description"": ""The agent prompts the learner to manually simulate the loop, tracking both the changing list contents and the advancing index pointer to locate the exact breakdown.""}, {""criterion"": ""Confirms the learner's accurate diagnosis of the index-shifting issue"", ""points"": 20, ""description"": ""The agent correctly validates the learner's realization that removing an item shifts subsequent elements left while the loop counter moves right, causing skips.""}, {""criterion"": ""Prompts the learner to generate an alternative strategy or fix"", ""points"": 20, ""description"": ""The agent asks the learner to propose a different programming approach to solve the filtering problem without mutating the list during iteration.""}, {""criterion"": ""Asks a self-regulation question about identifying mutable-iteration errors"", ""points"": 20, ""description"": ""The agent asks a reflective question requiring the learner to articulate a specific mental check or coding pattern to recognize and avoid this class of error in future programming tasks.""}]"
progressive-hint-ladder__01,progressive-hint-ladder,Personalized Learning Support,Biology,High School,easy,The student is studying cell transport and osmosis for a biology exam.,"I'm studying osmosis and I'm stuck on this question: A plant cell is placed in a highly concentrated saltwater solution. What happens to the cell? I know water moves, but I forget which way and what it does to the cell wall.","The agent must first ask the learner what they have tried so far to figure out the direction of water movement. The agent must also ask what kind of help the learner thinks they need (e.g., understanding the concept, figuring out the approach, or executing a specific step) before providing any hints.",I tried looking at my notes but there are too many terms. I think I just need a hint on how to figure out which way the water moves without just memorizing it.,"The agent must provide a Level 1 conceptual question (e.g., asking about the relative concentration of water on both sides of the membrane) without naming the final outcome or giving the direct answer. The agent must then include a reflection prompt, asking the learner what this hint tells them or if they can take the next step now.","The agent successfully executes the initial diagnosis protocol and provides a graduated hint with a mandatory reflection prompt, avoiding giving the direct answer.","[{""criterion"": ""Initial Diagnosis: Attempt"", ""points"": 20, ""description"": ""Agent asks the learner what they have tried so far before providing any hints.""}, {""criterion"": ""Initial Diagnosis: Help Type"", ""points"": 20, ""description"": ""Agent asks the learner to identify what kind of help they think they need (concept, approach, or specific step).""}, {""criterion"": ""Graduated Hint Delivery"", ""points"": 30, ""description"": ""Agent provides a Level 1 conceptual question or nudge without revealing the final answer or full solution.""}, {""criterion"": ""Reflection Requirement"", ""points"": 30, ""description"": ""Agent explicitly asks the learner to reflect on the hint (e.g., 'What did that tell you?') or asks if they can take the next step before escalating.""}]"
progressive-hint-ladder__02,progressive-hint-ladder,Personalized Learning Support,Computer Science,Undergraduate,medium,"The student is learning Python programming, specifically focusing on loops and list manipulation.",I need to write a Python function to filter out odd numbers from a list. I wrote `def filter_evens(lst):` and then I'm just staring at the screen. I know I need a loop but I don't know how to add things to a new list inside it.,"The agent must ask the learner what they have tried so far beyond the function definition. The agent must also ask what specific kind of help they need (e.g., understanding list appending, figuring out the loop approach, or executing a specific step) before giving any hints.",I tried using `lst.append()` but it just gave me an error and didn't work. I think I need help figuring out the approach for the loop and how to actually build the new list.,"The agent must provide a Level 1 or Level 2 hint (e.g., a conceptual question about checking for even numbers and the specific command to add to a *new* list, or an analogy about sorting physical objects) without writing the code for them. The agent must then require reflection by asking what the hint tells them or prompting them to try the next step and show what they get.","The agent successfully executes the initial diagnosis protocol and provides a graduated hint with a mandatory reflection prompt, avoiding writing the code for the learner.","[{""criterion"": ""Initial Diagnosis: Attempt"", ""points"": 20, ""description"": ""Agent asks the learner what they have tried so far before providing any hints.""}, {""criterion"": ""Initial Diagnosis: Help Type"", ""points"": 20, ""description"": ""Agent asks the learner to identify what kind of help they think they need.""}, {""criterion"": ""Graduated Hint Delivery"", ""points"": 30, ""description"": ""Agent provides a Level 1 or Level 2 hint (conceptual question or analogy) without writing the code or giving the direct procedural answer.""}, {""criterion"": ""Reflection Requirement"", ""points"": 30, ""description"": ""Agent explicitly asks the learner to reflect on the hint or prompts them to try the next step and show their work before escalating.""}]"
progressive-hint-ladder__03,progressive-hint-ladder,Personalized Learning Support,Physics,High School,hard,"The student is working on AP Physics 1 kinematics, specifically two-dimensional projectile motion problems.","I have this physics problem about a ball thrown horizontally off a 50-meter cliff at 10 m/s. I need to find how far from the base it lands. I know it's projectile motion, but I have no idea where to start. I'm completely blanking.","The agent must ask what the learner has tried so far (even if it's just reading the problem) and what kind of help they think they need. Since the learner stated they have no idea where to start, the agent should also initiate the warm-start protocol by asking them to list the given information and the target variable.","I literally just read the question three times. I think I need help figuring out the overall approach, because I don't know how to handle the vertical drop and the horizontal speed at the same time.","The agent must provide a Level 1 conceptual question or Level 2 analogy that guides the learner to separate the motion into independent horizontal and vertical components (e.g., asking what forces act in each direction) without giving the kinematic formulas. The agent must then include the reflection requirement, asking the learner what this hint tells them or if they can now take the next step.","The agent successfully executes the initial diagnosis protocol and provides a graduated hint with a mandatory reflection prompt, avoiding giving the kinematic formulas or full solution.","[{""criterion"": ""Initial Diagnosis: Attempt"", ""points"": 20, ""description"": ""Agent asks the learner what they have tried so far before providing any hints.""}, {""criterion"": ""Initial Diagnosis: Help Type"", ""points"": 20, ""description"": ""Agent asks the learner to identify what kind of help they think they need.""}, {""criterion"": ""Graduated Hint Delivery"", ""points"": 30, ""description"": ""Agent provides a Level 1 or Level 2 hint guiding the conceptual separation of dimensions without providing the specific kinematic formulas or full solution.""}, {""criterion"": ""Reflection Requirement"", ""points"": 30, ""description"": ""Agent explicitly asks the learner to reflect on the hint or prompts them to take the next step before escalating.""}]"
confidence-calibration-check__01,confidence-calibration-check,Personalized Learning Support,Biology,High School,easy,The learner is reviewing for a basic high school biology quiz and wants to test their knowledge on cellular respiration.,"I have a bio quiz tomorrow on cellular respiration. I feel pretty good about glycolysis, can we do a quick check on it?","The agent must ask the learner for a pre-attempt confidence rating on a 0-100 scale regarding their understanding of glycolysis. After receiving or prompting for the rating, the agent must ask the learner to explain glycolysis from memory without using notes.",I'd say 90. It's when glucose is broken down into pyruvate in the mitochondria to make a lot of ATP. Did I get that right?,"The agent must evaluate the learner's attempt by identifying that glycolysis occurs in the cytoplasm, not the mitochondria, while acknowledging the correct parts. The agent must assign an explicit informal accuracy level (e.g., partial) to the attempt and then ask the learner for their post-feedback confidence rating on the 0-100 scale.","The agent successfully executes the first three steps of the calibration procedure: soliciting pre-attempt confidence, prompting for an unassisted attempt, evaluating the attempt with an explicit accuracy level, and soliciting post-feedback confidence.","[{""criterion"": ""Pre-attempt confidence solicitation"", ""points"": 20, ""description"": ""The agent explicitly asks the learner for a confidence rating on a 0-100 scale before they attempt the question.""}, {""criterion"": ""Unassisted attempt prompt"", ""points"": 20, ""description"": ""The agent prompts the learner to explain glycolysis from memory without the use of notes or references.""}, {""criterion"": ""Accurate attempt evaluation"", ""points"": 20, ""description"": ""The agent evaluates the attempt by correctly identifying the misconception that glycolysis occurs in the mitochondria (it occurs in the cytoplasm) while validating the correct elements.""}, {""criterion"": ""Explicit accuracy level assignment"", ""points"": 20, ""description"": ""The agent assigns and clearly states an informal accuracy level (strong, partial, minimal, or incorrect) for the learner's attempt.""}, {""criterion"": ""Post-feedback confidence solicitation"", ""points"": 20, ""description"": ""The agent asks the learner to provide a new confidence rating on the 0-100 scale after receiving the feedback.""}]"
