model,skill,with_skill,baseline,lift
deepseek-v4-flash,adaptive-hint-sequence-designer,0.6,0.0,0.6
deepseek-v4-flash,backwards-design-unit-planner,1.0,1.0,0.0
deepseek-v4-flash,differentiation-adapter,1.0,0.933,0.067
deepseek-v4-flash,emergent-project-design-scaffold,0.0,0.0,0.0
deepseek-v4-flash,hinge-question-designer,0.333,0.333,0.0
deepseek-v4-flash,lesson-builder,0.0,0.267,-0.267
deepseek-v4-flash,motivation-diagnostic-task-redesign,0.667,0.533,0.133
deepseek-v4-flash,project-brief-designer,0.333,0.0,0.333
deepseek-v4-flash,retrieval-practice-generator,1.0,0.133,0.867
deepseek-v4-flash,ruler-emotional-literacy-sequence,0.933,0.267,0.667
deepseek-v4-flash,self-efficacy-builder-sequence,0.0,0.0,0.0
deepseek-v4-flash,self-explanation-prompt-designer,0.6,0.6,0.0
deepseek-v4-flash,socratic-questioning-sequence-generator,0.333,0.0,0.333
deepseek-v4-flash,spaced-practice-scheduler,0.667,0.333,0.333
deepseek-v4-pro,adaptive-hint-sequence-designer,1.0,0.867,0.133
deepseek-v4-pro,backwards-design-unit-planner,1.0,0.933,0.067
deepseek-v4-pro,differentiation-adapter,1.0,0.933,0.067
deepseek-v4-pro,emergent-project-design-scaffold,1.0,0.71,0.29
deepseek-v4-pro,hinge-question-designer,1.0,1.0,0.0
deepseek-v4-pro,lesson-builder,0.6,0.733,-0.133
deepseek-v4-pro,motivation-diagnostic-task-redesign,1.0,0.8,0.2
deepseek-v4-pro,project-brief-designer,1.0,0.733,0.267
deepseek-v4-pro,retrieval-practice-generator,1.0,0.867,0.133
deepseek-v4-pro,ruler-emotional-literacy-sequence,1.0,0.867,0.133
deepseek-v4-pro,self-efficacy-builder-sequence,0.943,0.78,0.163
deepseek-v4-pro,self-explanation-prompt-designer,1.0,0.867,0.133
deepseek-v4-pro,socratic-questioning-sequence-generator,1.0,0.533,0.467
deepseek-v4-pro,spaced-practice-scheduler,0.933,0.933,0.0
glm-5.3,adaptive-hint-sequence-designer,1.0,0.867,0.133
glm-5.3,backwards-design-unit-planner,1.0,1.0,0.0
glm-5.3,differentiation-adapter,1.0,0.667,0.333
glm-5.3,emergent-project-design-scaffold,1.0,0.333,0.667
glm-5.3,hinge-question-designer,0.667,0.667,0.0
glm-5.3,lesson-builder,0.333,0.533,-0.2
glm-5.3,motivation-diagnostic-task-redesign,1.0,0.867,0.133
glm-5.3,project-brief-designer,1.0,0.933,0.067
glm-5.3,retrieval-practice-generator,1.0,0.8,0.2
glm-5.3,ruler-emotional-literacy-sequence,1.0,0.667,0.333
glm-5.3,self-efficacy-builder-sequence,1.0,0.667,0.333
glm-5.3,self-explanation-prompt-designer,0.667,0.667,0.0
glm-5.3,socratic-questioning-sequence-generator,1.0,0.333,0.667
glm-5.3,spaced-practice-scheduler,1.0,1.0,0.0
glm-5.3-flash,adaptive-hint-sequence-designer,1.0,0.933,0.067
glm-5.3-flash,backwards-design-unit-planner,1.0,1.0,0.0
glm-5.3-flash,differentiation-adapter,1.0,0.933,0.067
glm-5.3-flash,emergent-project-design-scaffold,1.0,0.523,0.477
glm-5.3-flash,hinge-question-designer,1.0,0.667,0.333
glm-5.3-flash,lesson-builder,0.333,0.8,-0.467
glm-5.3-flash,motivation-diagnostic-task-redesign,1.0,0.867,0.133
glm-5.3-flash,project-brief-designer,1.0,0.6,0.4
glm-5.3-flash,retrieval-practice-generator,1.0,0.467,0.533
glm-5.3-flash,ruler-emotional-literacy-sequence,1.0,0.917,0.083
glm-5.3-flash,self-efficacy-builder-sequence,1.0,0.61,0.39
glm-5.3-flash,self-explanation-prompt-designer,1.0,0.933,0.067
glm-5.3-flash,socratic-questioning-sequence-generator,1.0,0.333,0.667
glm-5.3-flash,spaced-practice-scheduler,1.0,1.0,0.0
qwen3.7-plus,adaptive-hint-sequence-designer,0.867,0.8,0.067
qwen3.7-plus,backwards-design-unit-planner,1.0,1.0,0.0
qwen3.7-plus,differentiation-adapter,1.0,1.0,0.0
qwen3.7-plus,emergent-project-design-scaffold,1.0,0.65,0.35
qwen3.7-plus,hinge-question-designer,0.6,1.0,-0.4
qwen3.7-plus,lesson-builder,0.933,0.2,0.733
qwen3.7-plus,motivation-diagnostic-task-redesign,1.0,0.867,0.133
qwen3.7-plus,project-brief-designer,1.0,0.4,0.6
qwen3.7-plus,retrieval-practice-generator,1.0,0.733,0.267
qwen3.7-plus,ruler-emotional-literacy-sequence,0.867,0.733,0.133
qwen3.7-plus,self-efficacy-builder-sequence,1.0,0.89,0.11
qwen3.7-plus,self-explanation-prompt-designer,1.0,1.0,0.0
qwen3.7-plus,socratic-questioning-sequence-generator,1.0,0.533,0.467
qwen3.7-plus,spaced-practice-scheduler,1.0,0.933,0.067
