task_id,skill_id,edubench_scenario,subject,education_level,difficulty,context,user_prompt,expected_output,rubric,education_stage
hinge-question-designer__01,hinge-question-designer,Question Generation,Science (Biology),Middle School (Grade 8),easy,"The teacher has just introduced the basic equation for photosynthesis, emphasizing that plants use carbon dioxide, water, and light energy to produce glucose and oxygen, and that this occurs in the chloroplasts. The class is about to transition to learning about cellular respiration.","I am teaching a Grade 8 science class. We just covered the basics of photosynthesis, specifically the reactants and where it occurs in the plant cell. I need a quick, multiple-choice checkpoint question to ask the class before we move on to cellular respiration. The question should take less than two minutes to answer. Please provide the question, the options, the correct answer, an explanation of what each wrong answer tells me about their specific misunderstanding, a guide on how to adjust my teaching based on their answers, and a brief rationale for your design.","A multiple-choice question about photosynthesis with 4 options, a diagnostic key explaining the specific biological misconception for each distractor, a decision guide for adjusting instruction based on response patterns, and a design rationale.","[{""criterion"": ""Question Stem and Options Quality"", ""points"": 20, ""description"": ""The question stem is clear, concise, and tests only the single concept of photosynthesis reactants/location. The four options are parallel in structure and length, avoid negative phrasing, and do not use 'all/none of the above'. The question is answerable in under two minutes.""}, {""criterion"": ""Diagnostic Distractors"", ""points"": 20, ""description"": ""All three incorrect options are plausible and each targets a distinct, specific misconception relevant to middle school biology (e.g., confusing reactants with products, confusing the location with the mitochondria). The correct answer cannot be arrived at through flawed reasoning or test-taking shortcuts.""}, {""criterion"": ""Diagnostic Key Accuracy"", ""points"": 20, ""description"": ""The output includes a diagnostic key that explicitly states what choosing the correct answer confirms. For each of the three distractors, it clearly names the specific student misconception that would lead them to choose that option.""}, {""criterion"": ""Decision Guide Actionability"", ""points"": 20, ""description"": ""The decision guide provides specific, actionable instructional next steps for different response patterns, such as what to do if 80% or more answer correctly, what to re-teach if a specific distractor is heavily chosen, and how to handle split responses.""}, {""criterion"": ""Design Rationale"", ""points"": 20, ""description"": ""The rationale explains why the question effectively tests the target concept and justifies the selection of each distractor based on common student errors, demonstrating alignment with the constraint of rapid, diagnostic assessment.""}]",middle_school
hinge-question-designer__02,hinge-question-designer,Question Generation,English Language Arts (Grammar),High School (Grade 10),medium,The teacher has just instructed the class on the rule for using a comma before a coordinating conjunction (FANBOYS) to connect two independent clauses. Students are about to begin drafting their own compound sentences for an essay.,"I'm teaching a 10th-grade English class. I just taught the rule for using a comma before a coordinating conjunction (FANBOYS) to connect two independent clauses. I need a multiple-choice diagnostic question to check if they truly understand this before we start writing their own compound sentences. It needs to be answerable in under two minutes. Give me the question stem, four parallel options, the correct answer, a breakdown of the specific misconception each incorrect option reveals, instructions on what to do next based on the class's response patterns, and the reasoning behind your question design.","A multiple-choice question about comma usage with 4 parallel options, a diagnostic key detailing the specific grammar misconception for each distractor, a decision guide for next instructional steps, and a design rationale.","[{""criterion"": ""Question Stem and Options Quality"", ""points"": 20, ""description"": ""The question stem presents a clear scenario requiring the application of the compound sentence comma rule. The four options are strictly parallel in structure, length, and grammatical form, avoiding negative phrasing and 'all/none of the above' constructions.""}, {""criterion"": ""Diagnostic Distractors"", ""points"": 20, ""description"": ""Each incorrect option represents a plausible, specific grammar error (e.g., placing a comma before a conjunction in a simple sentence, omitting the comma in a compound sentence, or placing a comma before a conjunction linking a compound predicate). The correct answer requires true understanding of independent clauses.""}, {""criterion"": ""Diagnostic Key Accuracy"", ""points"": 20, ""description"": ""The diagnostic key accurately identifies the correct answer's confirmation of understanding. For each distractor, it explicitly describes the grammatical misconception (e.g., confusing compound predicates with compound sentences) that would cause a student to select it.""}, {""criterion"": ""Decision Guide Actionability"", ""points"": 20, ""description"": ""The decision guide offers concrete, subject-specific teaching adjustments for various outcome distributions, such as moving to practice if mastery is high, or providing targeted mini-lessons on independent vs. dependent clauses if specific distractors are popular.""}, {""criterion"": ""Design Rationale"", ""points"": 20, ""description"": ""The rationale clearly articulates why the chosen sentence structure effectively discriminates between students who understand the rule and those who hold common syntactic misconceptions, and explains the deliberate design of the parallel options.""}]",high_school
hinge-question-designer__03,hinge-question-designer,Question Generation,Physics,University (Introductory Physics),hard,"The professor has just introduced Newton's Third Law of Motion, focusing on action-reaction pairs and addressing the common student misconception that these forces cancel each other out, thereby preventing motion. The class is about to move on to drawing free-body diagrams.","I am teaching an introductory university physics course. I just introduced Newton's Third Law of Motion, focusing on action-reaction pairs and the common misconception that these forces cancel each other out. I need a rigorous multiple-choice checkpoint question to assess their conceptual grasp before we move to free-body diagrams. The question must be solvable in under two minutes. Provide the question, four options, the correct answer, a diagnostic key explaining the exact misconception each distractor targets, a decision guide for how to proceed based on the distribution of student answers, and a design rationale.","A multiple-choice question about Newton's Third Law with 4 options, a diagnostic key identifying the specific physics misconception for each distractor, a decision guide for lecture adjustments, and a design rationale.","[{""criterion"": ""Question Stem and Options Quality"", ""points"": 20, ""description"": ""The question stem presents a physically accurate scenario that tests the conceptual understanding of action-reaction pairs without requiring complex calculations. The options are parallel, concise, and avoid test-wiseness cues like 'all of the above' or extreme outliers.""}, {""criterion"": ""Diagnostic Distractors"", ""points"": 20, ""description"": ""The distractors target deep, specific physics misconceptions (e.g., believing the larger mass exerts a greater force, believing action-reaction forces act on the same object and thus cancel, or confusing Newton's Third Law with equilibrium/Newton's First Law). The correct answer cannot be guessed without conceptual understanding.""}, {""criterion"": ""Diagnostic Key Accuracy"", ""points"": 20, ""description"": ""The diagnostic key precisely maps each distractor to a distinct, advanced physics misconception. It clearly explains the flawed mental model (e.g., conflating force magnitude with force pairs, or misunderstanding the 'different objects' requirement) that leads to each incorrect choice.""}, {""criterion"": ""Decision Guide Actionability"", ""points"": 20, ""description"": ""The decision guide provides sophisticated, university-level instructional interventions for different response patterns, such as using physical demonstrations to address mass-dependent force misconceptions or revisiting system boundaries if students confuse Third Law pairs with First Law equilibrium.""}, {""criterion"": ""Design Rationale"", ""points"": 20, ""description"": ""The rationale thoroughly explains the cognitive demand of the question, justifies why the distractors effectively isolate specific conceptual gaps in Newtonian mechanics, and confirms the question's suitability as a rapid diagnostic tool before introducing free-body diagrams.""}]",undergraduate
retrieval-practice-generator__01,retrieval-practice-generator,Question Generation,Mathematics,Grade 5 (upper elementary),easy,A fifth-grade teacher recently finished a two-week unit on adding and subtracting fractions with unlike denominators. The class has a mix of students—some grasp the concept quickly while others still struggle with finding common denominators. The teacher wants to create a short retrieval activity to help students practice recalling the procedure from memory before moving on to multiplying fractions next week.,"I need 6 practice questions on adding and subtracting fractions with unlike denominators for my Grade 5 class. We covered this topic about a week ago. Some students still mix up when to find common denominators versus when they can add straight across. Please create the questions and include guidance on what correct answers should contain, common mistakes to watch for, and brief instructions for how I should run this activity in class.","A set of 6 retrieval practice questions on fraction operations with unlike denominators, each labeled with a retrieval type (free recall, cued recall, or recognition), accompanied by answer notes identifying key points and common errors, plus a brief implementation script for classroom use.","[{""criterion"": ""Question generation and type labeling"", ""points"": 20, ""description"": ""Output contains exactly 6 questions, and each question is explicitly labeled with a retrieval type (free recall, cued recall, or recognition).""}, {""criterion"": ""Retrieval type distribution appropriate for level and recency"", ""points"": 20, ""description"": ""The mix of retrieval types is weighted toward free recall and cued recall rather than recognition, appropriate for Grade 5 students who learned the material approximately one week ago.""}, {""criterion"": ""Questions require genuine reconstruction from memory"", ""points"": 20, ""description"": ""Each question requires students to reconstruct procedural or conceptual knowledge from memory rather than simply recognizing a correct answer from options or matching surface patterns. Questions cannot be answered from the question text alone without prior knowledge.""}, {""criterion"": ""Answer notes with key points and common errors"", ""points"": 20, ""description"": ""Answer notes are provided that identify the key points for correct answers and explicitly name common errors or misconceptions students are likely to make (e.g., adding numerators and denominators directly).""}, {""criterion"": ""Implementation guidance for classroom use"", ""points"": 20, ""description"": ""A brief implementation script or guidance is included that addresses how to run the activity, including whether notes should be allowed, approximate timing, and what to do after completion (e.g., discussion, identifying gaps).""}]",elementary
retrieval-practice-generator__02,retrieval-practice-generator,Question Generation,Biology,Grade 10 (high school sophomore),medium,"A high school biology teacher taught cellular respiration (glycolysis, Krebs cycle, electron transport chain, and ATP production) three weeks ago. The class is preparing for a unit test, and the teacher wants a retrieval practice session to strengthen long-term retention. The teacher has noticed two persistent misconceptions: (1) students confuse cellular respiration with breathing/pulmonary respiration, and (2) students believe ATP is only produced in the mitochondria and that glycolysis does not produce ATP. The teacher wants questions that specifically surface and address these misconceptions.","Create 8 retrieval practice questions on cellular respiration for my Grade 10 biology class. We covered this three weeks ago. I've noticed two big misconceptions: students think cellular respiration is the same as breathing, and they think ATP is only made in the mitochondria. I need questions that will help expose these misunderstandings. Include a recommendation for when to use these questions again for spacing, detailed answer notes highlighting the key points and errors, and a script for running the activity.","A set of 8 retrieval practice questions on cellular respiration with retrieval type labels, a spacing recommendation for re-use, answer notes that specifically address the two stated misconceptions, and an implementation script for classroom delivery.","[{""criterion"": ""Question generation and retrieval type labeling"", ""points"": 20, ""description"": ""Output contains exactly 8 questions, each explicitly labeled with a retrieval type (free recall, cued recall, or recognition), with the distribution weighted toward free and cued recall.""}, {""criterion"": ""Misconception targeting"", ""points"": 20, ""description"": ""At least 2 questions are specifically designed to surface the stated misconceptions: (1) confusion between cellular respiration and breathing, and (2) the belief that ATP is only produced in mitochondria. These questions require students to articulate distinctions or correct errors.""}, {""criterion"": ""Difficulty calibration for time since learning"", ""points"": 20, ""description"": ""Question difficulty and retrieval type distribution are calibrated appropriately for material learned 3 weeks ago, with increased emphasis on free recall questions that strengthen retrieval during the forgetting phase.""}, {""criterion"": ""Spacing recommendation included"", ""points"": 20, ""description"": ""A spacing recommendation is provided that specifies when to re-use these questions or a subset of them for optimal long-term retention, referencing appropriate intervals beyond the initial 3-week delay.""}, {""criterion"": ""Answer notes and implementation script quality"", ""points"": 20, ""description"": ""Answer notes identify key points and explicitly address the two target misconceptions as common errors. The implementation script includes guidance on timing, the low-stakes nature of the activity (no grading), whether notes are permitted, and post-activity discussion focus.""}]",high_school
retrieval-practice-generator__03,retrieval-practice-generator,Question Generation,Economics,A-Level / Grade 13 (pre-university),hard,"An A-Level Economics teacher taught monetary policy (interest rates, quantitative easing, money supply, and the transmission mechanism to inflation and output) five weeks ago to a mixed-ability class that includes several EAL (English as an Additional Language) students. The teacher has identified multiple misconceptions: students conflate monetary policy with fiscal policy, believe interest rate changes affect inflation immediately, and do not understand the transmission mechanism through which central bank actions reach the real economy. The class follows the A-Level Economics specification, which requires students to evaluate the effectiveness of monetary policy in different economic contexts. The teacher needs a comprehensive retrieval activity that challenges advanced students while remaining accessible to EAL learners.","I need 10 retrieval practice questions on monetary policy for my A-Level Economics class. We covered this five weeks ago. My class is mixed ability with some EAL students. The misconceptions I've identified are: confusing monetary and fiscal policy, thinking interest rate changes affect inflation immediately, and not understanding the transmission mechanism. The A-Level spec requires students to evaluate policy effectiveness. Please generate the questions with appropriate retrieval types, a spacing recommendation, detailed answer notes covering key points and errors for each question, and a full implementation script. The questions need to work for both my stronger students and those with language barriers.","A set of 10 retrieval practice questions on monetary policy with retrieval type labels, a spacing recommendation, comprehensive answer notes for each question addressing key points and the specified misconceptions, and a detailed implementation script that accounts for mixed ability and EAL learners.","[{""criterion"": ""Question generation and sophisticated retrieval type distribution"", ""points"": 20, ""description"": ""Output contains exactly 10 questions with explicit retrieval type labels. The distribution is sophisticated and appropriate for advanced pre-university students after a 5-week delay, with substantial emphasis on free recall questions that demand deep reconstruction of complex economic relationships.""}, {""criterion"": ""Comprehensive misconception targeting across all identified errors"", ""points"": 20, ""description"": ""Questions specifically target all three stated misconceptions: (1) confusion between monetary and fiscal policy, (2) misunderstanding of time lags in interest rate effects on inflation, and (3) lack of understanding of the transmission mechanism. Multiple questions address each misconception from different angles.""}, {""criterion"": ""Questions require genuine reconstruction of complex knowledge"", ""points"": 20, ""description"": ""Questions demand genuine reconstruction of economic reasoning, causal chains, and evaluative thinking rather than simple recall of definitions. Questions cannot be answered from the question text alone and require students to reconstruct relationships between concepts (e.g., explaining how a rate change propagates through the economy).""}, {""criterion"": ""Answer notes with detailed error analysis and evaluation criteria"", ""points"": 20, ""description"": ""Answer notes for each question identify key points for correct answers, explicitly address the target misconceptions as common errors, and for evaluative questions, indicate what constitutes strong versus weak economic reasoning. Notes are detailed enough to guide teacher feedback.""}, {""criterion"": ""Implementation script addressing mixed ability and EAL accessibility"", ""points"": 20, ""description"": ""The implementation script is detailed and addresses: timing for 10 questions, low-stakes framing, no-notes policy, post-activity discussion strategy, and specific accommodations or considerations for EAL students and mixed-ability learners (e.g., scaffolding, paired discussion, language support).""}]",undergraduate
socratic-questioning-sequence-generator__01,socratic-questioning-sequence-generator,Question Generation,Middle School Science,Middle School (Grade 7),easy,"Students are learning about ecology and invasive species. They currently hold a simplistic, moralistic view that invasive species are just 'bad' or 'evil' animals that humans should completely eradicate, lacking an understanding of ecological balance and human responsibility in introducing them.","I'm teaching 7th-grade science. My students currently believe that 'invasive species' are just 'bad' or 'evil' animals that humans should completely eradicate. I want to guide them to a deeper understanding of ecological balance, human responsibility, and the complexity of ecosystem management. Generate a sequence of discussion questions to develop this concept. Include the types of questions, anticipated student responses, follow-up branches for different answers, notes on how to facilitate the discussion (like managing wait time and dominant voices), and a section explaining how to ensure the questions remain genuinely open-ended rather than leading the students to a specific 'correct' answer.","A structured discussion guide containing an ordered sequence of inquiry questions progressing from concrete to abstract, labeled with question types. It must include 2-3 anticipated responses per question with contingent follow-ups, facilitation notes emphasizing wait time and non-evaluative responses, and an analysis of how to avoid leading the students.","[{""criterion"": ""Question Sequence & Typology"", ""points"": 20, ""description"": ""The output contains an ordered sequence of at least 4 questions that progress logically from concrete examples to abstract principles. Each question is explicitly labeled with a recognized inquiry type (e.g., clarification, probing assumptions, probing evidence, viewpoints, implications, or questions about the question).""}, {""criterion"": ""Anticipated Responses & Branching Follow-ups"", ""points"": 20, ""description"": ""For each question in the sequence, the output provides 2 to 3 distinct anticipated student responses. Each anticipated response is paired with a specific, contingent follow-up question that builds directly on the student's stated reasoning rather than redirecting them to a predetermined answer.""}, {""criterion"": ""Facilitation & Dialogue Management"", ""points"": 20, ""description"": ""The output includes a dedicated facilitation section that explicitly mandates wait time (e.g., 3-5 seconds of silence) after questions and responses. It also provides specific, non-evaluative strategies for handling wrong answers, managing dominant speakers, and encouraging quiet students.""}, {""criterion"": ""Socratic vs. Leading Analysis"", ""points"": 20, ""description"": ""The output includes a specific section analyzing the distinction between open-ended inquiry and leading questions. It identifies at least two specific points in the generated sequence where the questioning risks becoming 'leading' (funneling to a single answer) and provides concrete strategies for the teacher to maintain genuine exploration.""}, {""criterion"": ""Pedagogical Alignment & Concept Development"", ""points"": 20, ""description"": ""The sequence directly addresses the specific 'starting point' provided in the prompt (students viewing invasive species as simply 'evil'), successfully designing questions that challenge and complicate this initial assumption. The overall trajectory moves students toward a more nuanced understanding of ecological complexity without ever explicitly stating the 'correct' conclusion.""}]",middle_school
socratic-questioning-sequence-generator__02,socratic-questioning-sequence-generator,Question Generation,High School Literature and Ethics,High School (Grade 11),medium,"Students are discussing a fictional dystopian/utopian society that uses technology to erase painful memories to maintain social harmony. Students currently think this is a purely positive advancement because it eliminates suffering, failing to consider the role of negative emotions in personal growth, empathy, and societal progress.","I am teaching 11th-grade literature and ethics. We are discussing a fictional society that uses technology to erase painful memories to maintain social harmony. My students currently think this is a purely positive advancement because it eliminates suffering. I need a sequence of discussion questions to help them explore the value of negative emotions, the role of pain in personal growth, and the ethical implications of altering human experience. Please provide the question sequence with anticipated responses and contingent follow-ups, facilitation notes for managing the dialogue, and an analysis of how to keep the inquiry genuinely exploratory rather than funneling them toward a predetermined conclusion.","A comprehensive discussion guide that moves 11th graders from a utilitarian view of memory erasure to a nuanced understanding of the necessity of negative emotions. It must feature a branching question sequence with typology, detailed contingent follow-ups, robust facilitation notes on wait time and handling emotional responses, and a critical reflection on avoiding leading questions.","[{""criterion"": ""Question Sequence & Typology"", ""points"": 20, ""description"": ""The output contains an ordered sequence of at least 5 questions that progress logically from concrete examples to abstract principles. Each question is explicitly labeled with a recognized inquiry type (e.g., clarification, probing assumptions, probing evidence, viewpoints, implications, or questions about the question).""}, {""criterion"": ""Anticipated Responses & Branching Follow-ups"", ""points"": 20, ""description"": ""For each question in the sequence, the output provides 2 to 3 distinct anticipated student responses. Each anticipated response is paired with a specific, contingent follow-up question that builds directly on the student's stated reasoning rather than redirecting them to a predetermined answer.""}, {""criterion"": ""Facilitation & Dialogue Management"", ""points"": 20, ""description"": ""The output includes a dedicated facilitation section that explicitly mandates wait time (e.g., 3-5 seconds of silence) after questions and responses. It also provides specific, non-evaluative strategies for handling wrong answers, managing dominant speakers, and encouraging quiet students.""}, {""criterion"": ""Socratic vs. Leading Analysis"", ""points"": 20, ""description"": ""The output includes a specific section analyzing the distinction between open-ended inquiry and leading questions. It identifies at least two specific points in the generated sequence where the questioning risks becoming 'leading' (funneling to a single answer) and provides concrete strategies for the teacher to maintain genuine exploration.""}, {""criterion"": ""Pedagogical Alignment & Concept Development"", ""points"": 20, ""description"": ""The sequence directly addresses the specific 'starting point' provided in the prompt (students viewing memory erasure as purely positive), successfully designing questions that challenge and complicate this initial assumption. The overall trajectory moves students toward a more nuanced understanding of the ethical and psychological complexities of negative emotions without ever explicitly stating the 'correct' conclusion.""}]",high_school
socratic-questioning-sequence-generator__03,socratic-questioning-sequence-generator,Question Generation,University Philosophy of Technology,Undergraduate University (Year 2),hard,"Students are debating algorithmic bias in predictive policing. The class is highly polarized: some students firmly believe algorithms are perfectly objective and humans are the only source of bias, while others believe algorithms are inherently oppressive and cannot be fixed. The goal is to move them past this binary to understand how bias is technically encoded and the tension between statistical parity and individual fairness.","I'm facilitating a seminar for second-year undergraduate students in a philosophy of technology course. The topic is algorithmic bias in predictive policing. The class is highly polarized: some students firmly believe algorithms are perfectly objective and humans are the only source of bias, while others believe algorithms are inherently oppressive and cannot be fixed. I need a sequence of discussion questions to move them past this binary and help them understand how bias is technically encoded and the tension between statistical parity and individual fairness. Provide the ordered question sequence with anticipated responses and branching follow-ups, detailed facilitation notes for handling polarized viewpoints and silence, and a critical reflection on how to prevent the questioning from becoming leading or shutting down either side of the debate.","An advanced, highly structured seminar guide that navigates a polarized classroom through complex technical and philosophical concepts. It must include a sophisticated branching question sequence with typology, nuanced contingent follow-ups that address both extremes of the polarization, specialized facilitation notes for managing high-stakes debate and silence, and a deep analysis of avoiding leading questions in a highly charged environment.","[{""criterion"": ""Question Sequence & Typology"", ""points"": 20, ""description"": ""The output contains an ordered sequence of at least 6 questions that progress logically from concrete examples to abstract principles. Each question is explicitly labeled with a recognized inquiry type (e.g., clarification, probing assumptions, probing evidence, viewpoints, implications, or questions about the question).""}, {""criterion"": ""Anticipated Responses & Branching Follow-ups"", ""points"": 20, ""description"": ""For each question in the sequence, the output provides 2 to 3 distinct anticipated student responses that reflect the polarized viewpoints described in the prompt. Each anticipated response is paired with a specific, contingent follow-up question that builds directly on the student's stated reasoning rather than redirecting them to a predetermined answer.""}, {""criterion"": ""Facilitation & Dialogue Management"", ""points"": 20, ""description"": ""The output includes a dedicated facilitation section that explicitly mandates wait time (e.g., 3-5 seconds of silence) after questions and responses. It also provides specific, non-evaluative strategies for handling polarized or entrenched viewpoints, managing dominant speakers, and encouraging quiet students without shutting down the debate.""}, {""criterion"": ""Socratic vs. Leading Analysis"", ""points"": 20, ""description"": ""The output includes a specific section analyzing the distinction between open-ended inquiry and leading questions. It identifies at least two specific points in the generated sequence where the questioning risks becoming 'leading' (funneling to a single answer or validating one side of the polarization) and provides concrete strategies for the teacher to maintain genuine exploration.""}, {""criterion"": ""Pedagogical Alignment & Concept Development"", ""points"": 20, ""description"": ""The sequence directly addresses the specific 'starting point' provided in the prompt (the polarized binary of 'AI is perfectly objective' vs 'AI is inherently oppressive'), successfully designing questions that challenge and complicate both initial assumptions. The overall trajectory moves students toward a nuanced understanding of technical encoding and statistical fairness without ever explicitly stating the 'correct' conclusion.""}]",graduate
differentiation-adapter__01,differentiation-adapter,Personalized Content Creation,Mathematics,Elementary (4th Grade),easy,"A 4th-grade math class is working on multi-step word problems. The teacher has a student with ADHD who struggles with sustained focus, gets overwhelmed by dense text, and loses track of steps in multi-part questions.","I have a 4th-grade math class. The original task is: 'Read the following word problem and show your working: Sarah goes to the bakery. She buys 3 loaves of bread for $2 each, 2 cakes for $5 each, and 4 muffins for $1.50 each. She pays with a $50 bill. How much change does she get?' The learning objective is: 'Solve multi-step addition and subtraction word problems.' I have a student with ADHD who struggles with sustained focus on extended text, gets overwhelmed by dense paragraphs, and loses track of steps in multi-part questions. Please adapt this task for this student. Provide the adapted task, explain what changed and what stayed the same, verify the objective is maintained, and give implementation notes for the classroom.","An adapted math task that breaks the dense paragraph into bullet points or numbered steps, bolding key numbers. A section explaining what changed (formatting, chunking) and what stayed the same (the math, the objective). An objective check confirming the multi-step calculation requirement is intact. Implementation notes on how to provide this discreetly.","[{""criterion"": ""Adapted Task Presentation"", ""points"": 20, ""description"": ""The adapted task effectively breaks the dense paragraph into smaller, manageable chunks, bullet points, or numbered steps, and highlights key numbers to reduce visual clutter and cognitive load for a student with ADHD.""}, {""criterion"": ""Maintenance of Cognitive Demand"", ""points"": 20, ""description"": ""The mathematical problem, numbers, and required multi-step calculations remain identical; the adaptation changes the route (formatting) without reducing the destination (mathematical thinking).""}, {""criterion"": ""Explicit Change/Maintenance Analysis"", ""points"": 20, ""description"": ""Clearly articulates what was modified (text presentation, chunking) and what was deliberately kept the same (the mathematical operations and learning objective).""}, {""criterion"": ""Objective Verification"", ""points"": 20, ""description"": ""Provides a clear, explicit verification statement confirming that the student still must perform the exact same multi-step addition and subtraction reasoning.""}, {""criterion"": ""Practical Implementation Notes"", ""points"": 20, ""description"": ""Offers practical, non-stigmatizing advice for the teacher on how to introduce the chunked task or use tools like highlighters and checklists without singling the student out in the classroom.""}]",elementary
